"Approach","Count","Page Size","Mean (in microseconds)","p99 (in microseconds)","p95 (in microseconds)","p50 (in microseconds)"
80
"skiplimit",210,80,379.6683417426215,385.52284240722656,385.52284240722656,356.91261291503906
"idlimit",210,80,396.0132598876953,375.42978922526044,375.42978922526044,375.2708435058594
90
"skiplimit",210,90,394.1059112548828,408.2520802815755,408.2520802815755,337.28281656901044
"idlimit",210,90,395.72185940212677,391.7217254638672,391.7217254638672,342.28960673014325
100
"skiplimit",210,100,377.602047390408,399.9869028727214,399.9869028727214,316.2225087483724
"idlimit",210,100,399.8014662000868,412.14625040690106,412.14625040690106,312.0104471842448
215
10
"skiplimit",215,10,284.1226982347893,302.7121225992839,297.6258595784505,281.0955047607422
"idlimit",215,10,292.02663537227744,304.3810526529948,302.31475830078125,291.0296122233073
20
"skiplimit",215,20,300.0822934237394,312.3283386230469,312.3283386230469,300.2484639485677
"idlimit",215,20,315.0882142962831,330.13025919596356,330.13025919596356,313.04359436035156
30
"skiplimit",215,30,313.04359436035156,329.81236775716144,329.81236775716144,307.5599670410156
"idlimit",215,30,325.3122170766195,336.2496693929036,336.2496693929036,332.5144449869792
40
"skiplimit",215,40,357.720586988661,370.4229990641276,370.4229990641276,342.7664438883464
"idlimit",215,40,350.4753112792969,362.396240234375,362.396240234375,349.91900126139325
50
"skiplimit",215,50,335.1370493570964,340.0643666585286,340.0643666585286,335.1370493570964
"idlimit",215,50,356.2450408935547,377.655029296875,377.655029296875,333.7860107421875
60
"skiplimit",215,60,350.5150477091471,350.71372985839844,350.71372985839844,348.3295440673828
"idlimit",215,60,372.29061126708984,391.88067118326825,391.88067118326825,350.8726755777995
70
"skiplimit",215,70,369.568665822347,383.456548055013,383.456548055013,364.383061726888
"idlimit",215,70,370.97930908203125,407.5368245442708,407.5368245442708,364.383061726888
80
"skiplimit",215,80,376.7808278401693,380.43657938639325,380.43657938639325,364.46253458658856
"idlimit",215,80,396.30466037326386,382.8207651774089,382.8207651774089,377.49608357747394
90
"skiplimit",215,90,382.39690992567273,389.0196482340495,389.0196482340495,352.4621327718099
"idlimit",215,90,400.5697038438585,396.6490427652995,396.6490427652995,349.124272664388
100
"skiplimit",215,100,382.37041897243927,399.66901143391925,399.66901143391925,324.8850504557292
"idlimit",215,100,398.47691853841144,402.8479258219401,402.8479258219401,314.3151601155599
220
10
"skiplimit",220,10,286.69472896691525,307.5599670410156,304.85788981119794,285.22809346516925
"idlimit",220,10,294.94545676491475,309.4673156738281,305.0963083902995,292.06275939941406
20
"skiplimit",220,20,306.6857655843099,322.3419189453125,322.3419189453125,304.6989440917969
"idlimit",220,20,316.9088652639678,323.8519032796224,323.8519032796224,311.4541371663411
30
"skiplimit",220,30,323.0571746826172,335.7728322347005,335.7728322347005,310.4209899902344
"idlimit",220,30,338.8027350107829,359.2967987060547,359.2967987060547,335.1370493570964
40
"skiplimit",220,40,335.93177795410156,338.47490946451825,338.47490946451825,332.83233642578125
"idlimit",220,40,348.95208146837024,363.7472788492839,363.7472788492839,349.8395284016927
50
"skiplimit",220,50,338.3159637451172,345.46852111816406,345.46852111816406,331.2428792317708
"idlimit",220,50,359.8531087239583,372.4098205566406,372.4098205566406,346.5811411539714
60
"skiplimit",220,60,354.766845703125,355.4026285807292,355.4026285807292,351.3495127360026
"idlimit",220,60,380.3571065266927,398.6358642578125,398.6358642578125,361.2836201985677
70
"skiplimit",220,70,358.14444224039715,370.7408905029297,370.7408905029297,369.5487976074219
"idlimit",220,70,376.08544031778973,409.5236460367839,409.5236460367839,370.26405334472656
80
"skiplimit",220,80,383.3770751953125,383.3770751953125,383.3770751953125,369.07196044921875
"idlimit",220,80,409.3382093641493,399.3511199951172,399.3511199951172,379.5623779296875
90
"skiplimit",220,90,382.60883755154083,390.4501597086589,390.4501597086589,357.62786865234375
"idlimit",220,90,404.304928249783,392.3575083414714,392.3575083414714,361.2836201985677
100
"skiplimit",220,100,385.337405734592,399.8279571533203,399.8279571533203,345.150629679362
"idlimit",220,100,402.9273986816406,406.6626230875651,406.6626230875651,326.5539805094401
225
10
"skiplimit",225,10,285.9640812528306,304.14263407389325,302.7121225992839,285.3075663248698
"idlimit",225,10,291.0261568815812,297.0695495605469,296.1953481038411,289.9169921875
20
"skiplimit",225,20,310.73225869072803,324.01084899902344,324.01084899902344,305.33472696940106
"idlimit",225,20,318.71928109063043,339.1106923421224,339.1106923421224,315.9840901692708
30
"skiplimit",225,30,322.71941502888996,330.13025919596356,330.13025919596356,320.0372060139974
"idlimit",225,30,333.91515413920087,339.34911092122394,339.34911092122394,331.9581349690755
40
"skiplimit",225,40,340.8723407321506,357.62786865234375,357.62786865234375,330.13025919596356
"idlimit",225,40,375.721189710829,393.7085469563802,393.7085469563802,381.23130798339844
50
"skiplimit",225,50,349.58521525065106,347.6937611897786,347.6937611897786,343.9585367838542
"idlimit",225,50,379.8961639404297,392.8343454996745,392.8343454996745,342.36907958984375
60
"skiplimit",225,60,360.07165908813477,359.6941630045573,359.6941630045573,357.3894500732422
"idlimit",225,60,383.53602091471356,393.4701283772786,393.4701283772786,368.1182861328125
70
"skiplimit",225,70,361.95913950602215,372.5687662760417,372.5687662760417,371.2972005208333
"idlimit",225,70,383.3373387654623,409.5236460367839,409.5236460367839,365.89304606119794
80
"skiplimit",225,80,383.69496663411456,380.1981608072917,380.1981608072917,379.5623779296875
"idlimit",225,80,415.696038140191,411.4309946695964,411.4309946695964,383.13865661621094
90
"skiplimit",225,90,387.7215915256076,392.913818359375,392.913818359375,365.0188446044922
"idlimit",225,90,409.47066413031683,394.1853841145833,394.1853841145833,373.68138631184894
100
"skiplimit",225,100,384.59565904405383,401.8147786458333,401.8147786458333,335.7728322347005
"idlimit",225,100,404.463873969184,400.6226857503255,400.6226857503255,332.6733907063802
230
10
"skiplimit",230,10,290.483668230582,312.8846486409505,307.6394399007161,289.75804646809894
"idlimit",230,10,292.5395965576172,299.374262491862,296.7516581217448,291.0296122233073
20
"skiplimit",230,20,305.7718276977539,314.791997273763,314.791997273763,304.3810526529948
"idlimit",230,20,317.71924760606555,337.1238708496094,337.1238708496094,312.8846486409505
30
"skiplimit",230,30,318.6464309692383,327.74607340494794,327.74607340494794,313.3614857991536
"idlimit",230,30,338.9120101928711,342.2101338704427,342.2101338704427,334.9781036376953
40
"skiplimit",230,40,333.4151373969184,342.36907958984375,342.36907958984375,324.56715901692706
"idlimit",230,40,350.51504770914715,357.8662872314453,357.8662872314453,353.4952799479167
50
"skiplimit",230,50,341.92403157552087,340.9385681152344,340.9385681152344,337.9980723063151
"idlimit",230,50,362.63465881347656,375.7476806640625,375.7476806640625,338.55438232421875
60
"skiplimit",230,60,358.5219383239746,360.25047302246094,360.25047302246094,360.0120544433594
"idlimit",230,60,378.7080446879069,391.16541544596356,391.16541544596356,370.97930908203125
70
"skiplimit",230,70,364.5022710164388,369.9461619059245,369.9461619059245,366.2904103597005
"idlimit",230,70,380.1385561625163,412.14625040690106,412.14625040690106,362.7936045328776
80
"skiplimit",230,80,386.9268629286024,385.04600524902344,385.04600524902344,376.8603006998698
"idlimit",230,80,412.040286593967,413.02045186360675,413.02045186360675,378.8471221923828
90
"skiplimit",230,90,389.60244920518664,387.03282674153644,387.03282674153644,362.23729451497394
"idlimit",230,90,418.5040791829427,389.8143768310547,389.8143768310547,388.5428110758464
100
"skiplimit",230,100,390.07928636338977,404.67580159505206,404.67580159505206,349.28321838378906
"idlimit",230,100,409.9739922417535,397.3642985026042,397.3642985026042,355.4026285807292
235
10
"skiplimit",235,10,293.0561701456706,330.28920491536456,319.7987874348958,287.5328063964844
"idlimit",235,10,297.21193843417694,309.5467885335286,306.92418416341144,296.1953481038411
20
"skiplimit",235,20,304.4671482510037,327.2692362467448,327.2692362467448,299.77162679036456
"idlimit",235,20,317.1099556816949,331.7991892496745,331.7991892496745,316.1430358886719
30
"skiplimit",235,30,317.59341557820636,329.09711201985675,329.09711201985675,315.3483072916667
"idlimit",235,30,333.0111503601074,339.5875295003255,339.5875295003255,333.0707550048828
40
"skiplimit",235,40,330.87200588650177,341.25645955403644,341.25645955403644,326.47450764973956
"idlimit",235,40,350.6872389051649,359.45574442545575,359.45574442545575,356.43577575683594
50
"skiplimit",235,50,343.2750701904297,343.8790639241536,343.8790639241536,338.2364908854167
"idlimit",235,50,365.4162089029948,383.456548055013,383.456548055013,343.64064534505206
60
"skiplimit",235,60,357.34971364339196,362.15782165527344,362.15782165527344,354.52842712402344
"idlimit",235,60,393.74828338623047,408.01366170247394,408.01366170247394,383.53602091471356
70
"skiplimit",235,70,365.8135732014974,363.9062245686849,363.9062245686849,363.7472788492839
"idlimit",235,70,383.4168116251628,409.4441731770833,409.4441731770833,367.80039469401044
80
"skiplimit",235,80,388.5693020290799,382.1055094401042,382.1055094401042,380.2776336669922
"idlimit",235,80,414.6099090576172,425.17979939778644,425.17979939778644,380.1981608072917
90
"skiplimit",235,90,384.5691680908203,392.2780354817708,392.2780354817708,366.36988321940106
"idlimit",235,90,410.1329379611545,386.31757100423175,386.31757100423175,384.1718037923177
100
"skiplimit",235,100,387.77457343207465,400.30479431152344,400.30479431152344,348.4090169270833
"idlimit",235,100,415.43112860785595,403.40423583984375,403.40423583984375,363.7472788492839
240
10
"skiplimit",240,10,289.02954525417755,310.8978271484375,306.2884012858073,289.2017364501953
"idlimit",240,10,292.9369608561198,296.9106038411458,296.9106038411458,292.69854227701825
20
"skiplimit",240,20,303.61943774753144,321.9445546468099,321.9445546468099,298.6590067545573
"idlimit",240,20,315.3284390767415,319.56036885579425,319.56036885579425,314.791997273763
30
"skiplimit",240,30,318.4378147125244,335.2165222167969,335.2165222167969,310.5004628499349
"idlimit",240,30,333.37871233622235,337.0443979899089,337.0443979899089,332.03760782877606
40
"skiplimit",240,40,343.0710898505317,370.89983622233075,370.89983622233075,327.90501912434894
"idlimit",240,40,351.4819675021701,354.3694814046224,354.3694814046224,352.780024210612
50
"skiplimit",240,50,343.8154856363932,349.8395284016927,349.8395284016927,339.34911092122394
"idlimit",240,50,369.88258361816406,373.3634948730469,373.3634948730469,358.26365152994794
60
"skiplimit",240,60,362.09821701049805,366.8467203776042,366.8467203776042,355.64104715983075
"idlimit",240,60,382.54261016845703,390.84752400716144,390.84752400716144,386.87388102213544
70
"skiplimit",240,70,365.93278249104816,374.3966420491536,374.3966420491536,366.44935607910156
"idlimit",240,70,386.2778345743815,411.4309946695964,411.4309946695964,369.3898518880208
80
"skiplimit",240,80,392.70189073350696,395.77484130859375,395.77484130859375,385.6817881266276
"idlimit",240,80,419.8816087510851,426.8487294514974,426.8487294514974,386.6354624430339
90
"skiplimit",240,90,397.8941175672743,394.50327555338544,394.50327555338544,380.1186879475911
"idlimit",240,90,423.2459598117404,409.6031188964844,409.6031188964844,395.05958557128906
100
"skiplimit",240,100,391.13892449273004,406.185785929362,406.185785929362,356.91261291503906
"idlimit",240,100,426.29241943359375,426.0540008544922,426.0540008544922,364.7804260253906
245
10
"skiplimit",245,10,287.1259053548177,308.67258707682294,302.6326497395833,286.5791320800781
"idlimit",245,10,293.6808268229167,306.12945556640625,297.22849527994794,292.2217051188151
20
"skiplimit",245,20,305.8299040183043,322.8187561035156,322.8187561035156,302.95054117838544
"idlimit",245,20,314.1317612085587,321.2292989095052,321.2292989095052,312.96412150065106
30
"skiplimit",245,30,319.78995711715135,333.62706502278644,333.62706502278644,313.04359436035156
"idlimit",245,30,330.18324110243054,340.0643666585286,340.0643666585286,332.03760782877606
40
"skiplimit",245,40,330.81145513625376,340.46173095703125,340.46173095703125,322.8187561035156
"idlimit",245,40,348.0684189569383,358.74048868815106,358.74048868815106,353.5747528076172
50
"skiplimit",245,50,346.1996714274088,352.3826599121094,352.3826599121094,342.2101338704427
"idlimit",245,50,377.7503967285156,379.0855407714844,379.0855407714844,365.33673604329425
60
"skiplimit",245,60,351.46077473958337,359.45574442545575,359.45574442545575,354.1310628255208
"idlimit",245,60,372.155507405599,398.0000813802083,398.0000813802083,364.8598988850911
70
"skiplimit",245,70,364.0453020731608,369.5487976074219,369.5487976074219,362.396240234375
"idlimit",245,70,387.62887318929035,409.4441731770833,409.4441731770833,364.62148030598956
80
"skiplimit",245,80,373.10520807902014,394.4238026936849,394.4238026936849,378.8471221923828
"idlimit",245,80,388.80109786987305,426.92820231119794,426.92820231119794,389.97332255045575
90
"skiplimit",245,90,396.3841332329644,392.8343454996745,392.8343454996745,383.05918375651044
"idlimit",245,90,420.67633734809027,406.344731648763,406.344731648763,395.5364227294922
100
"skiplimit",245,100,395.82782321506073,408.9673360188802,408.9673360188802,361.9988759358724
"idlimit",245,100,427.193111843533,427.00767517089844,427.00767517089844,371.61509195963544
250
10
"skiplimit",250,10,292.7207946777344,313.75885009765625,309.7852071126302,291.0296122233073
"idlimit",250,10,298.91331990559894,325.6003061930339,319.56036885579425,293.0959065755208
20
"skiplimit",250,20,310.45766977163464,324.6466318766276,324.6466318766276,309.5467885335286
"idlimit",250,20,316.30809490497296,332.2760264078776,332.2760264078776,314.95094299316406
30
"skiplimit",250,30,318.45657913773147,330.6070963541667,330.6070963541667,314.7125244140625
"idlimit",250,30,331.54311003508394,337.91859944661456,337.91859944661456,334.8986307779948
40
"skiplimit",250,40,335.53441365559894,346.0248311360677,346.0248311360677,331.2428792317708
"idlimit",250,40,347.84135364350817,357.2305043538411,357.2305043538411,354.1310628255208
50
"skiplimit",250,50,348.2659657796224,350.3958384195964,350.3958384195964,343.48169962565106
"idlimit",250,50,371.6468811035156,377.5755564371745,377.5755564371745,372.4892934163411
60
"skiplimit",250,60,356.0066223144531,375.0324249267578,375.0324249267578,353.17738850911456
"idlimit",250,60,370.77267964680993,395.2980041503906,395.2980041503906,366.2904103597005
70
"skiplimit",250,70,368.13815434773767,368.038813273112,368.038813273112,365.6546274820964
"idlimit",250,70,554.9987157185873,537.2365315755209,537.2365315755209,418.2656606038411
80
"skiplimit",250,80,370.9991772969564,383.05918375651044,383.05918375651044,379.9597422281901
"idlimit",250,80,387.1520360310873,430.02764383951825,430.02764383951825,375.668207804362
90
"skiplimit",250,90,395.32449510362414,396.3311513264974,396.3311513264974,391.4038340250651
"idlimit",250,90,424.04068840874567,414.6893819173177,414.6893819173177,393.78801981608075
100
"skiplimit",250,100,408.278571234809,411.11310323079425,411.11310323079425,375.2708435058594
"idlimit",250,100,434.7430335150825,429.9481709798177,429.9481709798177,383.05918375651044
255
10
"skiplimit",255,10,291.3199938260592,320.5140431722005,311.5336100260417,291.50644938151044
"idlimit",255,10,304.1548606676933,310.65940856933594,307.003657023112,303.42737833658856
20
"skiplimit",255,20,306.13556886330633,320.9114074707031,320.9114074707031,300.0100453694661
"idlimit",255,20,315.32996740096655,323.0571746826172,323.0571746826172,312.4078114827474
30
"skiplimit",255,30,317.3616197374132,329.4944763183594,329.4944763183594,312.48728434244794
"idlimit",255,30,330.7218904848452,339.5875295003255,339.5875295003255,331.0839335123698
40
"skiplimit",255,40,330.49356369745163,337.91859944661456,337.91859944661456,326.5539805094401
"idlimit",255,40,344.99168395996094,356.1973571777344,356.1973571777344,351.4289855957031
50
"skiplimit",255,50,338.89876471625433,351.90582275390625,351.90582275390625,336.4086151123047
"idlimit",255,50,360.26371849907764,387.43019104003906,387.43019104003906,374.3966420491536
60
"skiplimit",255,60,359.0901692708333,370.89983622233075,370.89983622233075,360.0915273030599
"idlimit",255,60,371.8058268229167,391.5627797444661,391.5627797444661,351.90582275390625
70
"skiplimit",255,70,367.9394721984863,365.7341003417969,365.7341003417969,365.0983174641927
"idlimit",255,70,394.3840662638346,409.20575459798175,409.20575459798175,371.4561462402344
80
"skiplimit",255,80,373.5621770222982,386.5559895833333,386.5559895833333,377.81397501627606
"idlimit",255,80,394.3443298339844,433.28603108723956,433.28603108723956,386.5559895833333
90
"skiplimit",255,90,393.33767361111114,390.76805114746094,390.76805114746094,387.9070281982422
"idlimit",255,90,426.26592848036023,425.8155822753906,425.8155822753906,386.95335388183594
100
"skiplimit",255,100,394.2913479275174,400.1458485921224,400.1458485921224,374.5555877685547
"idlimit",255,100,430.5309719509549,415.8814748128255,415.8814748128255,392.2780354817708
260
10
"skiplimit",260,10,288.0524366329878,309.4673156738281,309.14942423502606,285.3870391845703
"idlimit",260,10,291.7112448276618,302.39423116048175,297.4669138590495,290.23488362630206
20
"skiplimit",260,20,335.53441365559894,396.49009704589844,396.49009704589844,310.3415171305339
"idlimit",260,20,311.72923552684296,321.46771748860675,321.46771748860675,310.2620442708333
30
"skiplimit",260,30,324.13447344744645,333.3091735839844,333.3091735839844,313.04359436035156
"idlimit",260,30,339.614020453559,345.07115681966144,345.07115681966144,330.92498779296875
40
"skiplimit",260,40,331.1861129034133,338.1570180257161,338.1570180257161,324.01084899902344
"idlimit",260,40,361.9194030761719,376.3039906819661,376.3039906819661,363.98569742838544
50
"skiplimit",260,50,340.3292761908637,350.71372985839844,350.71372985839844,340.7796223958333
"idlimit",260,50,368.899769253201,390.76805114746094,390.76805114746094,378.68817647298175
60
"skiplimit",260,60,364.224116007487,365.89304606119794,365.89304606119794,355.4026285807292
"idlimit",260,60,377.67092386881507,400.543212890625,400.543212890625,357.3894500732422
70
"skiplimit",260,70,370.1051076253255,368.6745961507161,368.6745961507161,367.0056660970052
"idlimit",260,70,389.59582646687824,411.5104675292969,411.5104675292969,372.012456258138
80
"skiplimit",260,80,372.88665771484375,385.04600524902344,385.04600524902344,375.3503163655599
"idlimit",260,80,394.2251205444336,431.7760467529297,431.7760467529297,382.9797108968099
90
"skiplimit",260,90,394.8211669921875,395.4569498697917,395.4569498697917,390.5296325683594
"idlimit",260,90,427.193111843533,431.7760467529297,431.7760467529297,389.8938496907552
100
"skiplimit",260,100,402.66248914930554,406.6626230875651,406.6626230875651,386.7149353027344
"idlimit",260,100,426.18645562065973,404.35791015625,404.35791015625,396.2516784667969
265
10
"skiplimit",265,10,288.3334218719859,309.5467885335286,308.5136413574219,285.7049306233724
"idlimit",265,10,309.4408247205946,429.47133382161456,343.08433532714844,290.87066650390625
20
"skiplimit",265,20,308.1730433872768,327.2692362467448,327.2692362467448,308.83153279622394
"idlimit",265,20,313.71343703497024,324.249267578125,324.249267578125,314.3151601155599
30
"skiplimit",265,30,327.28689688223375,337.680180867513,337.680180867513,328.5408020019531
"idlimit",265,30,329.83002839265043,333.3886464436849,333.3886464436849,329.891840616862
40
"skiplimit",265,40,331.65159679594495,337.36228942871094,337.36228942871094,327.3487091064453
"idlimit",265,40,345.196042742048,356.753667195638,356.753667195638,347.9321797688802
50
"skiplimit",265,50,343.2035446166992,350.2368927001953,350.2368927001953,339.1106923421224
"idlimit",265,50,356.7934036254883,373.60191345214844,373.60191345214844,368.7540690104167
60
"skiplimit",265,60,353.89264424641925,360.568364461263,360.568364461263,345.7864125569661
"idlimit",265,60,374.52379862467444,397.04640706380206,397.04640706380206,358.1841786702474
70
"skiplimit",265,70,376.10530853271484,377.7345021565755,377.7345021565755,375.0324249267578
"idlimit",265,70,392.41711298624676,407.6957702636719,407.6957702636719,383.3770751953125
80
"skiplimit",265,80,372.84692128499347,383.13865661621094,383.13865661621094,378.4497578938802
"idlimit",265,80,402.17240651448566,443.0611928304036,443.0611928304036,380.9134165445964
90
"skiplimit",265,90,401.31145053439667,402.0531972249349,402.0531972249349,396.41062418619794
"idlimit",265,90,431.113772922092,436.2265268961589,436.2265268961589,390.84752400716144
100
"skiplimit",265,100,405.5235120985243,406.2652587890625,406.2652587890625,398.79480997721356
"idlimit",265,100,429.3388790554471,407.85471598307294,407.85471598307294,402.21214294433594
270
10
"skiplimit",270,10,309.85290621533807,393.3906555175781,328.6202748616536,294.04958089192706
"idlimit",270,10,291.61241319444446,304.7784169514974,297.38744099934894,289.4401550292969
20
"skiplimit",270,20,306.03862944103423,324.249267578125,324.249267578125,302.1558125813802
"idlimit",270,20,311.21571858723956,316.38145446777344,316.38145446777344,310.57993570963544
30
"skiplimit",270,30,321.6090025725188,344.5148468017578,344.5148468017578,313.5999043782552
"idlimit",270,30,332.92946992097075,335.93177795410156,335.93177795410156,332.03760782877606
40
"skiplimit",270,40,335.5230603899274,345.7069396972656,345.7069396972656,329.2560577392578
"idlimit",270,40,357.6505751836867,373.0456034342448,373.0456034342448,352.54160563151044
50
"skiplimit",270,50,352.938969930013,358.26365152994794,358.26365152994794,347.6142883300781
"idlimit",270,50,381.522708468967,408.6494445800781,408.6494445800781,381.78761800130206
60
"skiplimit",270,60,368.1659698486328,367.4825032552083,367.4825032552083,364.62148030598956
"idlimit",270,60,384.7916920979818,402.4505615234375,402.4505615234375,356.6741943359375
70
"skiplimit",270,70,382.22471872965497,389.33753967285156,389.33753967285156,375.1913706461589
"idlimit",270,70,409.24549102783203,420.64984639485675,420.64984639485675,408.0931345621745
80
"skiplimit",270,80,392.3972447713216,406.9805145263672,406.9805145263672,390.6091054280599
"idlimit",270,80,398.27823638916016,432.80919392903644,432.80919392903644,375.827153523763
90
"skiplimit",270,90,400.6226857503255,402.29161580403644,402.29161580403644,387.43019104003906
"idlimit",270,90,428.06731330023877,441.7896270751953,441.7896270751953,387.112299601237
100
"skiplimit",270,100,408.94084506564667,414.92780049641925,414.92780049641925,392.03961690266925
"idlimit",270,100,436.20003594292535,420.8882649739583,420.8882649739583,410.4773203531901
275
10
"skiplimit",275,10,290.88769640241355,315.9840901692708,313.3614857991536,288.32753499348956
"idlimit",275,10,293.3598700023833,304.3810526529948,303.10948689778644,291.4269765218099
20
"skiplimit",275,20,306.48140680222286,326.6334533691406,326.6334533691406,300.0895182291667
"idlimit",275,20,314.65008145286924,318.606694539388,318.606694539388,314.2356872558594
30
"skiplimit",275,30,328.34211985270184,347.8527069091797,347.8527069091797,331.1634063720703
"idlimit",275,30,329.7249476114909,336.2496693929036,336.2496693929036,332.5144449869792
40
"skiplimit",275,40,337.80506678989957,353.09791564941406,353.09791564941406,329.01763916015625
"idlimit",275,40,358.9107876732236,368.5951232910156,368.5951232910156,350.8726755777995
50
"skiplimit",275,50,344.289673699273,347.9321797688802,347.9321797688802,339.74647521972656
"idlimit",275,50,376.3967090182834,388.22491963704425,388.22491963704425,382.50287373860675
60
"skiplimit",275,60,361.6968790690104,363.0320231119792,363.0320231119792,358.5020701090495
"idlimit",275,60,380.21405537923175,395.6158955891927,395.6158955891927,354.92579142252606
70
"skiplimit",275,70,372.4495569864909,373.60191345214844,373.60191345214844,369.9461619059245
"idlimit",275,70,396.88746134440106,406.7420959472656,406.7420959472656,396.88746134440106
80
"skiplimit",275,80,380.35710652669275,382.1055094401042,382.1055094401042,381.4697265625
"idlimit",275,80,401.9737243652344,431.8555196126302,431.8555196126302,380.0392150878906
90
"skiplimit",275,90,382.0061683654785,397.9206085205078,397.9206085205078,397.76166280110675
"idlimit",275,90,397.70205815633136,446.3990529378255,446.3990529378255,393.3906555175781
100
"skiplimit",275,100,404.2254553900825,400.9405771891276,400.9405771891276,400.543212890625
"idlimit",275,100,437.3391469319661,423.431396484375,423.431396484375,398.1590270996094
280
10
"skiplimit",280,10,293.754395984468,319.0040588378906,314.2356872558594,289.59910074869794
"idlimit",280,10,289.2386345636277,294.1290537516276,293.89063517252606,287.6122792561849
20
"skiplimit",280,20,306.11810230073473,330.20973205566406,330.20973205566406,296.4337666829427
"idlimit",280,20,318.07876768566314,321.5471903483073,321.5471903483073,316.6993459065755
30
"skiplimit",280,30,325.934092203776,342.28960673014325,342.28960673014325,325.6003061930339
"idlimit",280,30,328.58848571777344,336.2496693929036,336.2496693929036,330.6070963541667
40
"skiplimit",280,40,334.2628479003906,345.150629679362,345.150629679362,327.82554626464844
"idlimit",280,40,352.2123609270368,358.1047058105469,358.1047058105469,352.62107849121094
50
"skiplimit",280,50,346.15728590223523,350.71372985839844,350.71372985839844,340.8590952555339
"idlimit",280,50,361.52203877766925,373.60191345214844,373.60191345214844,367.5619761149089
60
"skiplimit",280,60,358.6610158284505,361.9988759358724,361.9988759358724,355.2436828613281
"idlimit",280,60,377.0669301350911,398.556391398112,398.556391398112,350.3163655598958
70
"skiplimit",280,70,373.7807273864746,372.88665771484375,372.88665771484375,369.86668904622394
"idlimit",280,70,402.3313522338867,417.788823445638,417.788823445638,406.7420959472656
80
"skiplimit",280,80,381.15183512369794,381.9465637207031,381.9465637207031,381.31078084309894
"idlimit",280,80,402.84792582194007,427.00767517089844,427.00767517089844,388.6222839355469
90
"skiplimit",280,90,384.31088129679364,404.51685587565106,404.51685587565106,387.6686096191406
"idlimit",280,90,399.3312517801921,447.98851013183594,447.98851013183594,386.7149353027344
100
"skiplimit",280,100,409.76206461588544,407.4573516845703,407.4573516845703,406.7420959472656
"idlimit",280,100,434.26619635687933,425.65663655598956,425.65663655598956,404.04001871744794
285
10
"skiplimit",285,10,292.38887216853,320.27562459309894,318.76564025878906,289.4401550292969
"idlimit",285,10,289.4401550292969,296.3542938232422,293.0164337158203,289.1222635904948
20
"skiplimit",285,20,309.60506863064234,326.31556193033856,326.31556193033856,305.41419982910156
"idlimit",285,20,312.4978807237413,325.4413604736328,325.4413604736328,313.12306722005206
30
"skiplimit",285,30,320.18025716145837,337.91859944661456,337.91859944661456,318.447748819987
"idlimit",285,30,330.71041107177734,341.4154052734375,341.4154052734375,333.62706502278644
40
"skiplimit",285,40,335.42513847351074,347.2169240315755,347.2169240315755,328.4613291422526
"idlimit",285,40,344.47511037190753,356.43577575683594,356.43577575683594,353.09791564941406
50
"skiplimit",285,50,347.2831514146593,354.60789998372394,354.60789998372394,338.47490946451825
"idlimit",285,50,363.6678059895833,373.7608591715495,373.7608591715495,372.4892934163411
60
"skiplimit",285,60,358.69280497233075,363.98569742838544,363.98569742838544,350.3163655598958
"idlimit",285,60,377.19408671061194,390.68857828776044,390.68857828776044,360.25047302246094
70
"skiplimit",285,70,368.2136535644531,373.2840220133464,373.2840220133464,369.70774332682294
"idlimit",285,70,377.9252370198568,413.1793975830078,413.1793975830078,359.0583801269531
80
"skiplimit",285,80,380.4961840311686,380.1186879475911,380.1186879475911,376.1450449625651
"idlimit",285,80,404.73540623982746,428.83555094401044,428.83555094401044,385.3638966878255
90
"skiplimit",285,90,392.41711298624676,401.2584686279297,401.2584686279297,394.58274841308594
"idlimit",285,90,405.82815806070965,452.91582743326825,452.91582743326825,393.3906555175781
100
"skiplimit",285,100,413.07343377007373,415.4046376546224,415.4046376546224,408.2520802815755
"idlimit",285,100,439.03456793891064,441.55120849609375,441.55120849609375,401.8942515055339
290
10
"skiplimit",290,10,297.3901814427869,320.0372060139974,317.49407450358075,293.731689453125
"idlimit",290,10,293.28225672930137,305.7320912679036,300.6458282470703,291.3475036621094
20
"skiplimit",290,20,311.32168240017364,328.5408020019531,328.5408020019531,305.2552541097005
"idlimit",290,20,316.3973490397135,328.06396484375,328.06396484375,316.2225087483724
30
"skiplimit",290,30,324.52742258707684,343.2432810465495,343.2432810465495,317.3351287841797
"idlimit",290,30,337.4814987182617,346.10430399576825,346.10430399576825,334.1833750406901
40
"skiplimit",290,40,336.835781733195,349.4421641031901,349.4421641031901,331.4018249511719
"idlimit",290,40,344.81287002563477,358.26365152994794,358.26365152994794,349.91900126139325
50
"skiplimit",290,50,353.5747528076172,363.34991455078125,363.34991455078125,349.91900126139325
"idlimit",290,50,365.23077223036023,372.09192911783856,372.09192911783856,367.3235575358073
60
"skiplimit",290,60,361.74456278483075,370.025634765625,370.025634765625,351.0316212972005
"idlimit",290,60,382.9002380371094,392.1190897623698,392.1190897623698,377.33713785807294
70
"skiplimit",290,70,371.8058268229167,378.2908121744792,378.2908121744792,365.6546274820964
"idlimit",290,70,381.6763559977214,412.86150614420575,412.86150614420575,365.0188446044922
80
"skiplimit",290,80,383.9929898579915,382.50287373860675,382.50287373860675,382.2644551595052
